ID,Birth_Date,Current_Location,Sire,Dam,Sex,Event_Type,Date,Location,
27,23/04/1986,FERNDALE,172,2,"Undetermin
ed",Birth/Hatch,23/04/1986,"OKLAHOM
A",
,,,,,,Transfer,07/04/1987,FERNDALE,
,,,,,,Death,27/09/1992,FERNDALE,
28,26/04/1986,FERNDALE,172,2,Female,Birth/Hatch,26/04/1986,"OKLAHOM
A",
,,,,,,Transfer,07/04/1987,FERNDALE,
,,,,,,Death,10/05/1997,FERNDALE,
29,17/05/1986,"WILD
WRLD",168,425,"Undetermin
ed",Birth/Hatch,17/05/1986,"WILD
WRLD",
,,,,,,Death,17/07/1986,WILD WRLD,
30,14/05/1986,"WILD
WRLD",UND,UND,Male,Birth/Hatch,14/05/1986,"WILD
WRLD",
,,,,,,Death,22/04/2012,WILD WRLD,
31,31/05/1986,"BUSCH
TAM",3,175,Male,Birth/Hatch,31/05/1986,"STCATHER
N",
,,,,,,Transfer,24/03/1988,SACRAMN TO,
,,,,,,Transfer,05/12/2000,RING L,
,,,,,,Transfer,26/03/2005,SACRAMN TO,
,,,,,,Transfer,07/09/2005,"BUSCH
TAM",
,,,,,,Death,01/01/2020,BUSCH TAM,
33,01/06/1986,BRZY RIDG,UND,UND,Male,Birth/Hatch,01/06/1986,"SANDIEGO
Z",
,,,,,,Transfer,26/05/2005,BRZY RIDG,
,,,,,,GO LTF,26/05/2005,BRZY RIDG,
34,04/06/1986,"JERRY CRAWFOR
D",UND,UND,Undetermin ed,Birth/Hatch,04/06/1986,BUSCH TAM,
,,,,,,Transfer,13/07/1986,"JERRY CRAWFOR
D",
,,,,,,GO LTF,13/07/1986,"JERRY CRAWFOR
D",
35,04/06/1986,TERRY HOOD,UND,UND,Undetermin ed,Birth/Hatch,04/06/1986,BUSCH TAM,
,,,,,,Transfer,19/06/1986,TERRY HOOD,
,,,,,,GO LTF,19/06/1986,"TERRY
HOOD",
36,04/06/1986,JERRY HOOD,UND,UND,Undetermin ed,Birth/Hatch,04/06/1986,BUSCH TAM,
,,,,,,Transfer,13/07/1986,"JERRY CRAWFOR
D",
,,,,,,GO LTF,13/07/1986,"JERRY
HOOD",
37,05/07/1986,HAWLEY J,UND,UND,Male,Birth/Hatch,05/07/1986,STCATHER N,
,,,,,,Transfer,25/03/1988,WILD WRLD,
,,,,,,Transfer,24/11/1992,HAWLEY J,
,,,,,,GO LTF,24/11/1992,HAWLEY J,
38,"01/01/1987
+/- 1 year","UNDETER
MI",UND,UND,Female,Birth/Hatch,"01/01/1987
+/- 1 year",NEW AGE,
,,,,,,Transfer,22/12/1990,LUBEE,
,,,,,,Transfer,28/04/1992,"UNDETER
MI",
,,,,,,GO LTF,28/04/1992,UNDETER MI,
39,"01/01/1987
+/- 1 year","UNDETER
MI",UND,UND,Male,Birth/Hatch,"01/01/1987
+/- 1 year",NEW AGE,
,,,,,,Transfer,22/12/1990,LUBEE,
,,,,,,Transfer,28/04/1992,UNDETER MI,
,,,,,,GO LTF,28/04/1992,UNDETER MI,
40,"01/01/1987
+/- 1 year",UNDETER MI,UND,UND,Female,Birth/Hatch,"01/01/1987
+/- 1 year",NEW AGE,
,,,,,,Transfer,22/12/1990,LUBEE,
,,,,,,Transfer,28/04/1992,UNDETER MI,
,,,,,,GO LTF,28/04/1992,"UNDETER
MI",
41,"01/01/1987
+/- 1 year",UNDETER MI,UND,UND,Male,Birth/Hatch,"01/01/1987
+/- 1 year",NEW AGE,
,,,,,,Transfer,22/12/1990,LUBEE,
,,,,,,Transfer,28/04/1992,"UNDETER
MI",
,,,,,,GO LTF,28/04/1992,UNDETER MI,
42,23/03/1987,"OKLAHOM
A",172,2,"Undetermin
ed",Birth/Hatch,23/03/1987,"OKLAHOM
A",
,,,,,,Death,02/10/1987,OKLAHOM A,
43,26/03/1987,VOKATY H,172,2,Undetermin ed,Birth/Hatch,26/03/1987,OKLAHOM A,
,,,,,,Transfer,13/10/1987,VOKATY H,
,,,,,,GO LTF,13/10/1987,VOKATY H,
44,"01/06/1987
+/- 1 month","PARROTTR
U",UND,UND,Female,Birth/Hatch,"01/06/1987
+/- 1 month","Undetermin
ed",
,,,,,,GO LTF,"01/06/1987
+/- 1 month",UNDETER MI,
,,,,,,Return from LTF,31/03/1988,CHATFIEL D,
,,,,,,Transfer,31/03/1988,SAN ANTON,
,,,,,,Transfer,21/11/2002,PARROTTR U,
,,,,,,GO LTF,21/11/2002,PARROTTR U,
45,"01/06/1987
+/- 1 month","TANAMAR
A",UND,UND,Male,Birth/Hatch,"01/06/1987
+/- 1 month","Undetermin
ed",
,,,,,,GO LTF,"01/06/1987
+/- 1 month",UNDETER MI,
,,,,,,"Return from
LTF",02/02/1988,"UNDETER
MI",
,,,,,,Transfer,02/02/1988,SAN ANTON,
,,,,,,Transfer,14/10/1998,"TANAMAR
A",
,,,,,,GO LTF,14/10/1998,TANAMAR A,
46,12/07/1987,"BUSCH
TAM",173,177,Female,Birth/Hatch,12/07/1987,"STCATHER
N",
,,,,,,Transfer,24/03/1988,SACRAMN TO,
,,,,,,Transfer,05/12/2000,RING L,
,,,,,,GO LTF,05/12/2000,RING L,
,,,,,,Return from LTF,26/02/2004,RING L,
,,,,,,Transfer,26/02/2004,"SACRAMN
TO",
,,,,,,Transfer,07/09/2005,BUSCH TAM,
,,,,,,Death,23/04/2012,BUSCH TAM,
47,19/07/1987,WILD WRLD,3,175,Female,Birth/Hatch,19/07/1987,STCATHER N,
,,,,,,Transfer,25/03/1988,"WILD
WRLD",
,,,,,,Death,16/01/2005,WILD WRLD,
48,01/05/1988,"METROZO
O",UND,UND,"Undetermin
ed",Birth/Hatch,01/05/1988,IRELAND T,
,,,,,,GO LTF,01/05/1988,IRELAND T,
,,,,,,Return from LTF,12/08/1988,IRELAND T,
,,,,,,Transfer,12/08/1988,METROZO O,
,,,,,,GO LTF,09/11/1988,"METROZO
O",
49,13/05/1988,JEFF GUS,UND,UND,Undetermin ed,Birth/Hatch,13/05/1988,BUSCH TAM,
,,,,,,Transfer,02/06/1988,JEFF GUS,
,,,,,,GO LTF,02/06/1988,JEFF GUS,
50,15/05/1988,LIN DECO,UND,UND,Undetermin ed,Birth/Hatch,15/05/1988,BUSCH TAM,
,,,,,,Transfer,23/06/1988,LIN DECO,
,,,,,,GO LTF,23/06/1988,LIN DECO,
51,17/06/1988,PRIVATE,UND,UND,Undetermin ed,Birth/Hatch,17/06/1988,BUSCH TAM,
,,,,,,Transfer,02/07/1992,SWF,
,,,,,,GO LTF,02/07/1992,SWF,
,,,,,,Return from LTF,16/03/2020,SWF,
,,,,,,Transfer,17/03/2020,PRIVATE,
52,20/06/1988,BUSCH TAM,UND,UND,Undetermin ed,Birth/Hatch,20/06/1988,BUSCH TAM,
,,,,,,Death,07/07/1988,BUSCH TAM,
53,08/08/1988,"LOXAHATC
H",172,2,"Undetermin
ed",Birth/Hatch,08/08/1988,"OKLAHOM
A",
,,,,,,Transfer,14/12/1988,LOXAHATC H,
,,,,,,GO LTF,14/12/1988,"LOXAHATC
H",
55,18/04/1989,G SCHEIBY,UND,UND,Undetermin ed,Birth/Hatch,18/04/1989,BUSCH TAM,
,,,,,,Transfer,24/05/1989,G SCHEIBY,
,,,,,,GO LTF,24/05/1989,G SCHEIBY,
56,20/04/1989,G SCHEIBY,UND,UND,Undetermin ed,Birth/Hatch,20/04/1989,BUSCH TAM,
,,,,,,Transfer,24/05/1989,G SCHEIBY,
,,,,,,GO LTF,24/05/1989,G SCHEIBY,
57,23/04/1989,G SCHEIBY,UND,UND,Undetermin ed,Birth/Hatch,23/04/1989,BUSCH TAM,
,,,,,,Transfer,24/05/1989,G SCHEIBY,
,,,,,,GO LTF,24/05/1989,G SCHEIBY,
58,27/05/1989,BRZY RIDG,184,176,Male,Birth/Hatch,27/05/1989,STCATHER N,
,,,,,,Transfer,11/10/1990,TUCSON,
,,,,,,Transfer,19/03/2003,BRZY RIDG,
,,,,,,GO LTF,19/03/2003,BRZY RIDG,
59,14/07/1989,"OKLAHOM
A",172,2,"Undetermin
ed",Birth/Hatch,14/07/1989,"OKLAHOM
A",
,,,,,,Death,24/07/1989,OKLAHOM A,
60,02/08/1989,BRZY RIDG,UND,UND,Female,Birth/Hatch,02/08/1989,"OKLAHOM
A",
,,,,,,Transfer,26/05/2005,BRZY RIDG,
,,,,,,GO LTF,26/05/2005,BRZY RIDG,
63,22/08/1989,SEDGWICK,172,2,Male,Birth/Hatch,22/08/1989,"OKLAHOM
A",
,,,,,,Transfer,20/11/1990,TUCSON,
,,,,,,Transfer,25/10/2011,OKLAHOM A,
,,,,,,Transfer,26/05/2020,SEDGWICK,
,,,,,,Death,05/02/2022,SEDGWICK,
64,23/06/1989,"SAN
ANTON",11,17,"Undetermin
ed",Birth/Hatch,23/06/1989,"SAN
ANTON",
,,,,,,Death,01/07/1989,SAN ANTON,
65,24/06/1989,SAN ANTON,11,17,Undetermin ed,Birth/Hatch,24/06/1989,SAN ANTON,
,,,,,,Death,08/07/1989,SAN ANTON,
66,30/06/1989,"SAN
ANTON",11,17,"Undetermin
ed",Birth/Hatch,30/06/1989,"SAN
ANTON",
,,,,,,Death,30/06/1989,SAN ANTON,
67,22/08/1989,WARD SUE,11,17,Female,Birth/Hatch,22/08/1989,"SAN
ANTON",
,,,,,,Transfer,22/05/1990,COLO SPRG,
,,,,,,Transfer,30/07/1993,MONROE,
,,,,,,Transfer,21/12/1995,WARD SUE,
,,,,,,Transfer,29/09/2001,WARD SUE,
,,,,,,GO LTF,29/09/2001,WARD SUE,
69,22/08/1989,ISSAQUAH,11,17,Male,Birth/Hatch,22/08/1989,"SAN
ANTON",
,,,,,,Transfer,16/03/1992,ISSAQUAH,
,,,,,,Transfer,29/07/2008,ST AUGUST,
,,,,,,Transfer,05/05/2010,SEDGWICK,
,,,,,,Death,15/07/2021,ISSAQUAH,
70,30/06/1989,SAN ANTON,11,17,Undetermin ed,Birth/Hatch,30/06/1989,SAN ANTON,
,,,,,,Death,08/07/1989,"SAN
ANTON",
71,17/07/1989,FAUNALIN K,172,2,Male,Birth/Hatch,17/07/1989,OKLAHOM A,
,,,,,,Transfer,18/10/1990,"STCATHER
N",
,,,,,,Transfer,10/04/1996,FAUNALIN K,
,,,,,,Transfer,17/04/2003,FAUNALIN K,
,,,,,,GO LTF,17/04/2003,FAUNALIN K,
72,30/08/1989,"UNDETER
MI",11,17,Female,Birth/Hatch,30/08/1989,"SAN
ANTON",
,,,,,,Transfer,17/07/1990,YULEE,
,,,,,,Transfer,24/03/2000,STCATHER N,
,,,,,,Transfer,20/11/2003,UNDETER MI,
,,,,,,GO LTF,20/11/2003,"UNDETER
MI",
73,02/09/1989,BELLBIRD,172,2,Female,Birth/Hatch,02/09/1989,OKLAHOM A,
,,,,,,Transfer,22/05/1990,BELLBIRD,
,,,,,,GO LTF,22/05/1990,BELLBIRD,
76,02/08/1989,BRZY RIDG,172,2,Female,Birth/Hatch,02/08/1989,OKLAHOM A,
,,,,,,Transfer,26/04/1990,SANDIEGO Z,
,,,,,,Transfer,03/10/2001,SD-WAP,
,,,,,,Transfer,26/05/2005,BRZY RIDG,
,,,,,,GO LTF,26/05/2005,BRZY RIDG,
