ID,Birth_Date,Current_Location,Sire,Dam,Sex,Event_Type,Date,Location,
193,11/06/1984,PRIVATE,184,176,"Undetermin
ed",Birth/Hatch,11/06/1984,"STCATHER
N",
,,,,,,Transfer,16/12/1984,PRIVATE,
,,,,,,GO LTF,16/12/1984,PRIVATE,
194,13/06/1984,PRIVATE,184,176,"Undetermin
ed",Birth/Hatch,13/06/1984,"STCATHER
N",
,,,,,,Transfer,16/12/1984,PRIVATE,
,,,,,,GO LTF,16/12/1984,PRIVATE,
195,26/06/1984,STCATHER N,3,175,Undetermin ed,Birth/Hatch,26/06/1984,STCATHER N,
,,,,,,Death,30/06/1984,STCATHER N,
196,28/06/1984,PRIVATE,3,175,"Undetermin
ed",Birth/Hatch,28/06/1984,"STCATHER
N",
,,,,,,Transfer,16/12/1984,PRIVATE,
,,,,,,GO LTF,16/12/1984,PRIVATE,
197,09/07/1984,PRIVATE,173,177,Undetermin ed,Birth/Hatch,09/07/1984,STCATHER N,
,,,,,,Transfer,16/12/1984,PRIVATE,
,,,,,,GO LTF,16/12/1984,PRIVATE,
198,11/07/1984,"STCATHER
N",184,176,"Undetermin
ed",Birth/Hatch,11/07/1984,"STCATHER
N",
,,,,,,Death,15/07/2010,STCATHER N,
199,15/07/1984,PRIVATE,184,176,Undetermin ed,Birth/Hatch,15/07/1984,STCATHER N,
,,,,,,Transfer,16/12/1984,PRIVATE,
,,,,,,GO LTF,16/12/1984,PRIVATE,
200,"01/01/1982
+/- 2 year",PRIVATE,WILD,WILD,Male,Birth/Hatch,"01/01/1982
+/- 2 year",Bolivia / ~,
,,,,,,Wild Capture,"01/01/1982
+/- 2 year",Bolivia / ~,
,,,,,,Transfer,~>01/01/19 82,UNKNOWN,
,,,,,,GO LTF,"01/01/1982
+/- 2 year",UNDETER MI,
,,,,,,Return from LTF,19/07/1984,UNDETER MI,
,,,,,,Transfer,19/07/1984,STCATHER N,
,,,,,,Transfer,16/12/1984,PRIVATE,
,,,,,,GO LTF,16/12/1984,PRIVATE,
201,"01/01/1982
+/- 2 year",PRIVATE,WILD,WILD,Female,Birth/Hatch,"01/01/1982
+/- 2 year",Undetermin ed,
,,,,,,"Wild
Capture","01/01/1982
+/- 2 year","Undetermin
ed",
,,,,,,Transfer,"01/01/1982
+/- 2 year",UNKNOWN,
,,,,,,GO LTF,"01/01/1982
+/- 2 year","UNDETER
MI",
,,,,,,Return from LTF,19/07/1984,UNDETER MI,
,,,,,,Transfer,19/07/1984,"STCATHER
N",
,,,,,,Transfer,16/12/1984,PRIVATE,
,,,,,,GO LTF,16/12/1984,PRIVATE,
202,17/05/1985,EDWARDS,184,176,Female,Birth/Hatch,17/05/1985,"STCATHER
N",
,,,,,,Transfer,20/06/1985,NY BRONX,
,,,,,,Transfer,04/10/1985,"STCATHER
N",
,,,,,,Transfer,11/11/1985,EDWARDS,
,,,,,,GO LTF,11/11/1985,EDWARDS,
203,18/05/1985,EDWARDS,184,176,Male,Birth/Hatch,18/05/1985,"STCATHER
N",
,,,,,,Transfer,20/06/1985,NY BRONX,
,,,,,,Transfer,04/10/1985,STCATHER N,
,,,,,,Transfer,08/12/1985,EDWARDS,
,,,,,,GO LTF,08/12/1985,EDWARDS,
204,19/05/1985,UNDETER MI,184,176,Undetermin ed,Birth/Hatch,19/05/1985,STCATHER N,
,,,,,,Transfer,20/06/1985,NY BRONX,
,,,,,,Transfer,03/10/1985,UNDETER MI,
,,,,,,GO LTF,03/10/1985,"UNDETER
MI",
205,21/05/1985,PRIVATE,184,176,Female,Birth/Hatch,21/05/1985,STCATHER N,
,,,,,,Transfer,20/06/1985,NY BRONX,
,,,,,,Transfer,04/10/1985,"STCATHER
N",
,,,,,,Transfer,17/07/1986,PRIVATE,
,,,,,,GO LTF,17/07/1986,PRIVATE,
206,18/05/1985,TRULI FRM,173,177,Male,Birth/Hatch,18/05/1985,"STCATHER
N",
,,,,,,Transfer,20/06/1985,NY BRONX,
,,,,,,Transfer,04/10/1985,STCATHER N,
,,,,,,Transfer,23/11/1985,TRULI FRM,
,,,,,,GO LTF,23/11/1985,TRULI FRM,
207,19/05/1985,EDWARDS,173,177,Male,Birth/Hatch,19/05/1985,"STCATHER
N",
,,,,,,Transfer,20/06/1985,NY BRONX,
,,,,,,Transfer,04/10/1985,STCATHER N,
,,,,,,Transfer,11/11/1985,EDWARDS,
,,,,,,GO LTF,11/11/1985,EDWARDS,
208,22/05/1985,UNDETER MI,173,177,Undetermin ed,Birth/Hatch,22/05/1985,STCATHER N,
,,,,,,Transfer,20/06/1985,NY BRONX,
,,,,,,Transfer,03/10/1985,UNDETER MI,
,,,,,,GO LTF,03/10/1985,"UNDETER
MI",
209,25/05/1985,PRIVATE,173,177,Female,Birth/Hatch,25/05/1985,STCATHER N,
,,,,,,Transfer,11/12/1985,PRIVATE,
,,,,,,GO LTF,11/12/1985,PRIVATE,
210,26/05/1985,TRULI FRM,173,177,Female,Birth/Hatch,26/05/1985,STCATHER N,
,,,,,,Transfer,23/11/1985,TRULI FRM,
,,,,,,GO LTF,23/11/1985,TRULI FRM,
211,13/06/1985,EDWARDS,3,175,Female,Birth/Hatch,13/06/1985,STCATHER N,
,,,,,,Transfer,08/12/1985,EDWARDS,
,,,,,,GO LTF,08/12/1985,EDWARDS,
212,13/06/1985,TRULI FRM,3,175,Female,Birth/Hatch,13/06/1985,STCATHER N,
,,,,,,Transfer,24/12/1985,TRULI FRM,
,,,,,,GO LTF,24/12/1985,TRULI FRM,
213,17/06/1985,STCATHER N,3,175,Undetermin ed,Birth/Hatch,17/06/1985,STCATHER N,
,,,,,,Death,09/07/1985,"STCATHER
N",
214,17/06/1985,PRIVATE,184,177,Male,Birth/Hatch,17/06/1985,STCATHER N,
,,,,,,Transfer,11/12/1985,PRIVATE,
,,,,,,GO LTF,11/12/1985,PRIVATE,
215,17/06/1985,STCATHER N,184,176,Undetermin ed,Birth/Hatch,17/06/1985,STCATHER N,
,,,,,,Death,24/06/1985,"STCATHER
N",
216,17/06/1985,PRIVATE,184,176,Male,Birth/Hatch,17/06/1985,STCATHER N,
,,,,,,Transfer,11/12/1985,PRIVATE,
,,,,,,GO LTF,11/12/1985,PRIVATE,
217,20/06/1985,PRIVATE,184,176,Female,Birth/Hatch,20/06/1985,STCATHER N,
,,,,,,Transfer,11/12/1985,PRIVATE,
,,,,,,GO LTF,11/12/1985,PRIVATE,
218,23/05/1986,PRIVATE,173,177,Undetermin ed,Birth/Hatch,23/05/1986,STCATHER N,
,,,,,,Transfer,13/09/1986,PRIVATE,
,,,,,,GO LTF,13/09/1986,PRIVATE,
219,24/05/1986,PRIVATE,184,176,Undetermin ed,Birth/Hatch,24/05/1986,STCATHER N,
,,,,,,Transfer,13/09/1986,PRIVATE,
,,,,,,GO LTF,13/09/1986,PRIVATE,
220,25/05/1986,NORTHLAN D,173,177,Male,Birth/Hatch,25/05/1986,STCATHER N,
,,,,,,Transfer,24/05/1988,"NORTHLAN
D",
,,,,,,GO LTF,24/05/1988,NORTHLAN D,
221,27/05/1986,"STCATHER
N",184,176,"Undetermin
ed",Birth/Hatch,27/05/1986,"STCATHER
N",
,,,,,,Death,15/06/1986,STCATHER N,
222,27/05/1986,"STCATHER
N",173,177,"Undetermin
ed",Birth/Hatch,27/05/1986,"STCATHER
N",
,,,,,,Death,05/06/1986,STCATHER N,
223,29/05/1986,"STCATHER
N",184,176,"Undetermin
ed",Birth/Hatch,29/05/1986,"STCATHER
N",
,,,,,,Death,04/06/1986,STCATHER N,
224,30/05/1986,PRIVATE,3,175,Male,Birth/Hatch,30/05/1986,STCATHER N,
,,,,,,Transfer,24/03/1988,PRIVATE,
,,,,,,GO LTF,24/03/1988,PRIVATE,
225,21/06/1986,"WALSROD
E",184,176,Male,Birth/Hatch,21/06/1986,"STCATHER
N",
,,,,,,Transfer,13/11/1987,NY BRONX,
,,,,,,Transfer,23/11/1987,"WALSROD
E",
,,,,,,GO LTF,23/11/1987,WALSROD E,
226,25/06/1986,NY BRONX,184,176,Male,Birth/Hatch,25/06/1986,"STCATHER
N",
,,,,,,Transfer,13/05/1988,NY BRONX,
,,,,,,GO LTF,13/05/1988,NY BRONX,
227,28/06/1986,"STCATHER
N",184,176,"Undetermin
ed",Birth/Hatch,28/06/1986,"STCATHER
N",
,,,,,,Death,04/07/1986,STCATHER N,
228,29/06/1986,"WALSROD
E",173,177,Male,Birth/Hatch,29/06/1986,"STCATHER
N",
,,,,,,Transfer,13/11/1987,NY BRONX,
,,,,,,Transfer,23/11/1987,WALSROD E,
,,,,,,GO LTF,23/11/1987,WALSROD E,
,,,,,,Return from LTF,31/12/2017,WALSROD E,
,,,,,,Death,01/01/2018,WALSROD E,
229,"01/01/1986
+/- 2 year",TRULI FRM,UND,UND,Male,Birth/Hatch,"01/01/1986
+/- 2 year",Undetermin ed,
,,,,,,Transfer,17/07/1986,"STCATHER
N",
,,,,,,Transfer,17/07/1986,TRULI FRM,
,,,,,,GO LTF,17/07/1986,TRULI FRM,
230,09/06/1987,PRIVATE,184,176,Male,Birth/Hatch,09/06/1987,"STCATHER
N",
,,,,,,Transfer,24/03/1988,PRIVATE,
,,,,,,GO LTF,24/03/1988,PRIVATE,
231,11/06/1987,PRIVATE,184,176,Female,Birth/Hatch,11/06/1987,STCATHER N,
,,,,,,Transfer,24/03/1988,PRIVATE,
,,,,,,GO LTF,24/03/1988,PRIVATE,
232,13/06/1987,PRIVATE,184,176,Male,Birth/Hatch,13/06/1987,STCATHER N,
,,,,,,Transfer,24/03/1988,PRIVATE,
,,,,,,GO LTF,24/03/1988,PRIVATE,
233,15/06/1987,PRIVATE,184,176,Male,Birth/Hatch,15/06/1987,"STCATHER
N",
,,,,,,Transfer,24/03/1988,PRIVATE,
,,,,,,GO LTF,24/03/1988,PRIVATE,
234,08/07/1987,STCATHER N,173,177,Undetermin ed,Birth/Hatch,08/07/1987,STCATHER N,
,,,,,,Death,10/01/1988,STCATHER N,
235,09/07/1987,PRIVATE,173,177,Male,Birth/Hatch,09/07/1987,"STCATHER
N",
,,,,,,Transfer,24/03/1988,PRIVATE,
,,,,,,GO LTF,24/03/1988,PRIVATE,
236,18/07/1987,PRIVATE,3,175,Male,Birth/Hatch,18/07/1987,STCATHER N,
,,,,,,Transfer,24/03/1988,PRIVATE,
,,,,,,GO LTF,24/03/1988,PRIVATE,
237,07/06/1988,PRIVATE,3,175,Female,Birth/Hatch,07/06/1988,STCATHER N,
,,,,,,Transfer,29/03/1989,PRIVATE,
,,,,,,GO LTF,29/03/1989,PRIVATE,
238,07/06/1988,"HARRING
K",3,175,Male,Birth/Hatch,07/06/1988,"STCATHER
N",
,,,,,,Transfer,29/03/1989,"HARRING
K",
,,,,,,GO LTF,29/03/1989,HARRING K,
239,10/06/1988,"HARRING
K",3,175,Female,Birth/Hatch,10/06/1988,"STCATHER
N",
,,,,,,Transfer,29/03/1989,HARRING K,
,,,,,,GO LTF,29/03/1989,HARRING K,
240,14/06/1988,PRIVATE,184,176,Male,Birth/Hatch,14/06/1988,STCATHER N,
,,,,,,Transfer,29/03/1989,PRIVATE,
,,,,,,GO LTF,29/03/1989,PRIVATE,
241,14/06/1988,HARRING K,184,176,Female,Birth/Hatch,14/06/1988,STCATHER N,
,,,,,,Transfer,29/03/1989,HARRING K,
,,,,,,GO LTF,29/03/1989,HARRING K,
242,16/06/1988,PRIVATE,184,176,Male,Birth/Hatch,16/06/1988,"STCATHER
N",
,,,,,,Transfer,29/03/1989,PRIVATE,
,,,,,,GO LTF,29/03/1989,PRIVATE,
243,18/06/1988,PRIVATE,173,177,Male,Birth/Hatch,18/06/1988,STCATHER N,
,,,,,,Transfer,29/03/1989,PRIVATE,
,,,,,,GO LTF,29/03/1989,PRIVATE,
244,25/06/1988,PRIVATE,173,177,Male,Birth/Hatch,25/06/1988,"STCATHER
N",
,,,,,,Transfer,29/03/1989,PRIVATE,
,,,,,,GO LTF,29/03/1989,PRIVATE,
245,01/07/1988,PRIVATE,173,177,Female,Birth/Hatch,01/07/1988,"STCATHER
N",
,,,,,,Transfer,29/03/1989,PRIVATE,
,,,,,,GO LTF,29/03/1989,PRIVATE,
246,23/05/1989,V.D.BRINK,173,177,Female,Birth/Hatch,23/05/1989,STCATHER N,
,,,,,,Transfer,01/02/1990,NY BRONX,
,,,,,,Transfer,09/02/1990,V.D.BRINK,
,,,,,,GO LTF,09/02/1990,V.D.BRINK,
247,24/05/1989,PRIVATE,173,177,Male,Birth/Hatch,24/05/1989,STCATHER N,
,,,,,,Transfer,25/07/1990,YULEE,
,,,,,,Transfer,24/03/2000,"STCATHER
N",
,,,,,,Transfer,20/11/2003,PRIVATE,
,,,,,,GO LTF,20/11/2003,PRIVATE,
248,24/05/1989,V.D.BRINK,184,176,Male,Birth/Hatch,24/05/1989,STCATHER N,
,,,,,,Transfer,01/02/1990,NY BRONX,
,,,,,,Transfer,09/02/1990,V.D.BRINK,
,,,,,,GO LTF,09/02/1990,V.D.BRINK,
249,27/05/1989,STOCKHOL M,173,177,Female,Birth/Hatch,27/05/1989,STCATHER N,
,,,,,,Transfer,18/12/1990,"STOCKHOL
M",
,,,,,,GO LTF,18/12/1990,STOCKHOL M,
250,29/05/1989,"STOCKHOL
M",3,175,Male,Birth/Hatch,29/05/1989,"STCATHER
N",
,,,,,,Transfer,18/12/1990,STOCKHOL M,
,,,,,,GO LTF,18/12/1990,"STOCKHOL
M",
251,29/05/1989,STOCKHOL M,3,175,Female,Birth/Hatch,29/05/1989,STCATHER N,
,,,,,,Transfer,18/12/1990,STOCKHOL M,
,,,,,,GO LTF,18/12/1990,STOCKHOL M,
252,30/05/1989,"STOCKHOL
M",184,176,Male,Birth/Hatch,30/05/1989,"STCATHER
N",
,,,,,,Transfer,18/12/1990,STOCKHOL M,
,,,,,,GO LTF,18/12/1990,"STOCKHOL
M",
253,01/06/1989,STCATHER N,3,175,Undetermin ed,Birth/Hatch,01/06/1989,STCATHER N,
,,,,,,Death,01/08/1989,"STCATHER
N",
254,06/06/1989,FAUNALIN K,173,177,Undetermin ed,Birth/Hatch,06/06/1989,STCATHER N,
,,,,,,GO LTF,01/08/1989,"FAUNALIN
K",
255,05/05/1990,STCATHER N,173,177,Undetermin ed,Birth/Hatch,05/05/1990,STCATHER N,
,,,,,,Death,12/07/1990,STCATHER N,
256,07/05/1990,STCATHER N,173,177,Undetermin ed,Birth/Hatch,07/05/1990,STCATHER N,
,,,,,,Death,12/07/1990,"STCATHER
N",
257,09/05/1990,STCATHER N,173,177,Undetermin ed,Birth/Hatch,09/05/1990,STCATHER N,
,,,,,,Death,12/07/1990,"STCATHER
N",
258,18/06/1991,KALENAK,184,176,Undetermin ed,Birth/Hatch,18/06/1991,STCATHER N,
,,,,,,Transfer,14/08/1991,KALENAK,
,,,,,,GO LTF,14/08/1991,KALENAK,
259,18/06/1991,KALENAK,184,176,Undetermin ed,Birth/Hatch,18/06/1991,STCATHER N,
,,,,,,Transfer,14/08/1991,KALENAK,
,,,,,,GO LTF,14/08/1991,KALENAK,
260,21/06/1991,KALENAK,184,176,Undetermin ed,Birth/Hatch,21/06/1991,STCATHER N,
,,,,,,Transfer,14/08/1991,KALENAK,
,,,,,,GO LTF,14/08/1991,KALENAK,
261,25/06/1991,KALENAK,184,176,Undetermin ed,Birth/Hatch,25/06/1991,STCATHER N,
,,,,,,Transfer,14/08/1991,KALENAK,
,,,,,,GO LTF,14/08/1991,KALENAK,
262,13/07/1991,KALENAK,184,176,Undetermin ed,Birth/Hatch,13/07/1991,STCATHER N,
,,,,,,Transfer,14/08/1991,KALENAK,
,,,,,,GO LTF,14/08/1991,KALENAK,
263,16/07/1991,KALENAK,184,176,Undetermin ed,Birth/Hatch,16/07/1991,STCATHER N,
,,,,,,Transfer,14/08/1991,KALENAK,
,,,,,,GO LTF,14/08/1991,KALENAK,
264,19/07/1991,KALENAK,184,176,Undetermin ed,Birth/Hatch,19/07/1991,STCATHER N,
,,,,,,Transfer,14/08/1991,KALENAK,
,,,,,,GO LTF,14/08/1991,KALENAK,
265,30/05/1993,KALENAK,184,176,Undetermin ed,Birth/Hatch,30/05/1993,STCATHER N,
,,,,,,Transfer,17/08/1993,KALENAK,
,,,,,,GO LTF,17/08/1993,KALENAK,
266,02/07/1993,STCATHER N,184,176,Undetermin ed,Birth/Hatch,02/07/1993,STCATHER N,
,,,,,,Death,06/07/1993,STCATHER N,
267,09/07/1993,KALENAK,184,176,Undetermin ed,Birth/Hatch,09/07/1993,STCATHER N,
,,,,,,Transfer,17/08/1993,KALENAK,
,,,,,,GO LTF,17/08/1993,KALENAK,
268,22/05/1994,FAUNALIN K,184,176,Undetermin ed,Birth/Hatch,22/05/1994,STCATHER N,
,,,,,,Transfer,05/11/1994,"FAUNALIN
K",
,,,,,,GO LTF,05/11/1994,FAUNALIN K,
269,26/05/1994,FAUNALIN K,184,176,Undetermin ed,Birth/Hatch,26/05/1994,STCATHER N,
,,,,,,Transfer,05/11/1994,FAUNALIN K,
,,,,,,GO LTF,05/11/1994,FAUNALIN K,
270,07/07/1994,POWER R,184,176,Undetermin ed,Birth/Hatch,07/07/1994,STCATHER N,
,,,,,,Transfer,27/09/1994,POWER R,
,,,,,,GO LTF,27/09/1994,POWER R,
271,09/07/1994,POWER R,184,176,Undetermin ed,Birth/Hatch,09/07/1994,STCATHER N,
,,,,,,Transfer,27/09/1994,POWER R,
,,,,,,GO LTF,27/09/1994,POWER R,
272,21/08/1994,FAUNALIN K,184,176,Female,Birth/Hatch,21/08/1994,STCATHER N,
,,,,,,Transfer,10/03/1995,"FAUNALIN
K",
,,,,,,GO LTF,10/03/1995,FAUNALIN K,
273,21/08/1994,"FAUNALIN
K",184,176,Male,Birth/Hatch,21/08/1994,"STCATHER
N",
,,,,,,Transfer,10/03/1995,FAUNALIN K,
,,,,,,GO LTF,10/03/1995,FAUNALIN K,
274,23/08/1994,FAUNALIN K,184,176,Male,Birth/Hatch,23/08/1994,STCATHER N,
,,,,,,Transfer,10/03/1995,"FAUNALIN
K",
,,,,,,GO LTF,10/03/1995,FAUNALIN K,
275,06/06/1998,"STCATHER
N",3,277,"Undetermin
ed",Birth/Hatch,06/06/1998,"STCATHER
N",
,,,,,,Death,11/07/1998,STCATHER N,
276,07/06/1998,"STCATHER
N",3,277,"Undetermin
ed",Birth/Hatch,07/06/1998,"STCATHER
N",
,,,,,,Death,28/08/1998,STCATHER N,
277,"01/01/1970
+/- 2 year",STCATHER N,WILD,WILD,Female,Birth/Hatch,"01/01/1970
+/- 2 year",Undetermin ed,
,,,,,,Wild Capture,"01/01/1970
+/- 2 year",Undetermin ed,
,,,,,,Transfer,"01/01/1980
+/- 9 year",UNDETER MI,
,,,,,,GO LTF,"01/01/1980
+/- 9 year",UNDETER MI,
,,,,,,"Return from
LTF",21/11/1989,SOLANO C,
,,,,,,Transfer,21/11/1989,STCATHER N,
,,,,,,Death,11/07/1998,"STCATHER
N",
278,"01/01/1985
+/- 5 year",V.D.BRINK,UND,UND,Male,Birth/Hatch,"01/01/1985
+/- 5 year",Undetermin ed,
,,,,,,GO LTF,"01/01/1985
+/- 5 year","UNDETER
MI",
,,,,,,Return from LTF,06/05/1989,IRELAND T,
,,,,,,Transfer,06/05/1989,NY BRONX,
,,,,,,Transfer,09/02/1990,V.D.BRINK,
,,,,,,GO LTF,09/02/1990,V.D.BRINK,
279,"01/01/1976
+/- 5 year",HOUSTON,UND,UND,Male,Birth/Hatch,"01/01/1976
+/- 5 year",Undetermin ed,
,,,,,,Transfer,28/04/1980,CHATFIEL D,
,,,,,,Transfer,28/04/1980,HOUSTON,
,,,,,,Transfer,15/05/1990,"BERRY
BOB",
,,,,,,Transfer,01/10/1991,HOUSTON,
,,,,,,Transfer,31/12/1994,LGL ECOL,
,,,,,,Transfer,16/01/2001,BIRD ENDO,
,,,,,,Transfer,07/06/2002,HOUSTON,
,,,,,,Death,12/08/2009,HOUSTON,
280,"01/01/1976
+/- 5 year",HOUSTON,UND,UND,Female,Birth/Hatch,"01/01/1976
+/- 5 year","Undetermin
ed",
,,,,,,Transfer,17/07/1980,CHATFIEL D,
,,,,,,Transfer,17/07/1980,HOUSTON,
,,,,,,Transfer,15/05/1990,BERRY BOB,
,,,,,,Transfer,01/10/1991,HOUSTON,
,,,,,,Transfer,31/12/1994,LGL ECOL,
,,,,,,Transfer,15/01/2001,HOUSTON,
,,,,,,Transfer,16/01/2001,BIRD ENDO,
,,,,,,Transfer,07/03/2002,HOUSTON,
,,,,,,Death,22/06/2009,HOUSTON,
281,"01/09/1998
+/- 1 month",LOSANGEL E,279,280,Male,Birth/Hatch,"01/09/1998
+/- 1 month",HOUSTON,
,,,,,,Transfer,13/01/2001,GALLOWA YB,
,,,,,,GO LTF,13/01/2001,"GALLOWA
YB",
,,,,,,Return from LTF,01/01/2002,GALLOWA YB,
,,,,,,Transfer,14/09/2016,"HEMKER
GF",
,,,,,,Return from LTF,13/06/2017,HEMKER GF,
,,,,,,Transfer,13/06/2017,LOSANGEL E,
282,"01/01/1996
+/- 1 year",HEMKER GF,279,280,Male,Birth/Hatch,"01/01/1996
+/- 1 year",HOUSTON,
,,,,,,Transfer,13/01/2001,HOUSTON,
,,,,,,Transfer,14/09/2016,HEMKER GF,
283,"01/01/1999
+/- 1 year",HEMKER GF,279,280,Male,Birth/Hatch,"01/01/1999
+/- 1 year",HOUSTON,
,,,,,,Transfer,13/01/2001,HOUSTON,
,,,,,,Transfer,04/09/2016,HEMKER GF,
,,,,,,Death,"13/09/2019
+/- 1 month","HEMKER
GF",
284,"01/01/1998
+/- 1 year",ISSAQUAH,279,280,Male,Birth/Hatch,"01/01/1998
+/- 1 year",HOUSTON,
,,,,,,Transfer,13/01/2001,HOUSTON,
,,,,,,Transfer,01/12/2011,ISSAQUAH,
285,11/02/2006,CRAWFRD W,185,186,Undetermin ed,Birth/Hatch,11/02/2006,SANFORD,
,,,,,,Transfer,14/04/2006,DREHER PA,
,,,,,,Transfer,17/11/2021,CRAWFRD W,
286,11/02/2006,"LOSANGEL
E",185,186,Female,Birth/Hatch,11/02/2006,SANFORD,
,,,,,,Transfer,14/04/2006,DREHER PA,
,,,,,,Transfer,27/07/2017,"LOSANGEL
E",
,,,,,,Death,21/11/2020,LOSANGEL E,
287,23/02/2006,"DREHER
PA",185,186,Male,Birth/Hatch,23/02/2006,SANFORD,
,,,,,,Transfer,14/04/2006,DREHER PA,
288,26/06/2007,TRACY AV,UND,UND,Female,Birth/Hatch,26/06/2007,"FALLBROO
K",
,,,,,,GO LTF,26/06/2007,FALLBROO K,
,,,,,,Return from LTF,21/03/2008,FALLBROO K,
,,,,,,Transfer,21/03/2008,TRACY AV,
,,,,,,Death,09/09/2011,TRACY AV,
289,29/05/1991,ISSAQUAH,279,280,Female,Birth/Hatch,29/05/1991,"BERRY
BOB",
,,,,,,GO LTF,29/05/1991,BERRY BOB,
,,,,,,Return from LTF,01/10/1991,BERRY BOB,
,,,,,,Transfer,01/10/1991,HOUSTON,
,,,,,,Transfer,05/02/2009,ISSAQUAH,
,,,,,,Death,28/11/2013,ISSAQUAH,
290,27/06/2005,SAN FRAN,185,186,Male,Birth/Hatch,27/06/2005,SANFORD,
,,,,,,Transfer,16/03/2006,DISNEY AK,
,,,,,,Transfer,01/06/2016,SEDGWICK,
,,,,,,Transfer,17/06/2021,ATASCADE R,
,,,,,,Transfer,07/10/2021,SAN FRAN,
292,28/05/2000,"FORTWOR
TH",UND,UND,Female,Birth/Hatch,28/05/2000,"Undetermin
ed",
,,,,,,GO LTF,28/05/2000,UNDETER MI,
,,,,,,"Return from
LTF",12/05/2009,"UNDETER
MI",
,,,,,,Transfer,23/12/2009,FORTWOR TH,
,,,,,,Transfer,23/12/2009,"FORTWOR
TH",
294,"18/11/1979
+/- 3 year",BUSCH TAM,UND,UND,Male,Birth/Hatch,"18/11/1979
+/- 3 year",PET FARM,
,,,,,,Transfer,18/11/1979,"BUSCH
TAM",
,,,,,,Death,16/12/2017,BUSCH TAM,
295,08/03/2005,"BLOOMING
T",UND,UND,Female,Birth/Hatch,08/03/2005,"Undetermin
ed",
,,,,,,Transfer,12/05/2005,BLOOMING T,
,,,,,,Transfer,15/12/2006,ADVENTUR E,
,,,,,,Death,14/05/2008,BLOOMING T,
296,"01/01/2004
+/- 3 year",VICTOR TX,UND,UND,Male,Birth/Hatch,"01/01/2004
+/- 3 year","Undetermin
ed",
,,,,,,Transfer,01/01/2006,VICTOR TX,
,,,,,,GO LTF,01/01/2006,VICTOR TX,
297,28/06/2000,SANFORD,185,186,Male,Birth/Hatch,28/06/2000,SANFORD,
298,"01/01/2006
+/- 1 year",PRIVATE,UND,UND,Female,Birth/Hatch,"01/01/2006
+/- 1 year",Undetermin ed,
,,,,,,Transfer,12/04/2010,"BUSCH
TAM",
,,,,,,GO LTF,14/08/2021,PRIVATE,
299,29/06/2005,"BUSCH
TAM",185,186,Female,Birth/Hatch,29/06/2005,SANFORD,
,,,,,,Transfer,16/03/2006,DISNEY AK,
,,,,,,Transfer,28/04/2016,BUSCH TAM,
300,07/07/2011,OKLAHOM A,126,133,Male,Birth/Hatch,07/07/2011,TULSA,
,,,,,,Transfer,18/04/2013,OKLAHOM A,
,,,,,,Death,15/02/2017,"OKLAHOM
A",
301,22/03/2011,BATONRO UG,79,21,Female,Birth/Hatch,22/03/2011,BATONRO UG,
302,23/06/2010,DALLAS,UND,UND,Male,Birth/Hatch,23/06/2010,"Undetermin
ed",
,,,,,,Transfer,03/11/2010,WORLDBIR D,
,,,,,,Transfer,21/03/2011,DALLAS,
,,,,,,Transfer,09/11/2011,WORLDBIR D,
,,,,,,Transfer,13/02/2012,DALLAS,
,,,,,,Transfer,12/09/2017,SD-WAP,
,,,,,,Transfer,21/02/2019,DALLAS,
303,25/06/2010,DALLAS,UND,UND,Male,Birth/Hatch,25/06/2010,PRIVATE,
,,,,,,Transfer,03/11/2010,"WORLDBIR
D",
,,,,,,Transfer,21/03/2011,DALLAS,
,,,,,,Transfer,09/11/2011,WORLDBIR D,
,,,,,,Transfer,13/02/2012,DALLAS,
,,,,,,Transfer,12/09/2017,SD-WAP,
,,,,,,Transfer,21/02/2019,DALLAS,
304,01/06/2010,DALLAS,UND,UND,Male,Birth/Hatch,01/06/2010,PRIVATE,
,,,,,,Transfer,22/07/2010,WORLDBIR D,
,,,,,,Transfer,21/03/2011,DALLAS,
,,,,,,Transfer,09/11/2011,"WORLDBIR
D",
,,,,,,Transfer,13/02/2012,DALLAS,
305,14/06/2010,DALLAS,UND,UND,Male,Birth/Hatch,14/06/2010,PRIVATE,
,,,,,,Transfer,22/07/2010,"WORLDBIR
D",
,,,,,,Transfer,21/03/2011,DALLAS,
,,,,,,Transfer,09/11/2011,WORLDBIR D,
,,,,,,Transfer,13/02/2012,DALLAS,
,,,,,,Transfer,03/11/2012,DALLAS,
306,"01/07/1979
+/- 5 year",ISSAQUAH,UND,UND,Male,Birth/Hatch,"01/07/1979
+/- 5 year",Undetermin ed,
,,,,,,Transfer,23/08/2014,ISSAQUAH,
,,,,,,Death,08/12/2021,ISSAQUAH,
308,"01/04/2004
+/- 1 year",ISSAQUAH,UND,UND,Female,Birth/Hatch,"01/04/2004
+/- 1 year",Undetermin ed,
,,,,,,Transfer,07/02/2014,ISSAQUAH,
309,"01/06/1979
+/- 3 year",ISSAQUAH,UND,UND,Female,Birth/Hatch,"01/06/1979
+/- 3 year",Undetermin ed,
,,,,,,Transfer,23/08/2014,ISSAQUAH,
,,,,,,Death,12/12/2021,ISSAQUAH,
310,22/06/2003,ISSAQUAH,UND,UND,Female,Birth/Hatch,22/06/2003,Undetermin ed,
,,,,,,Transfer,23/08/2014,ISSAQUAH,
