ID,Current_Location,ID_Local,Sex,Status,Sire,Dam,Birth_Type,Event_Type,Event_Date,Location,
2626,MILWAUKEE,"UNDETE
RMINED",Female,Alive,2402,2451,"Captive
Birth/Hatch",Birth/hatch,06/Dec/2010,GARDENCTY,
2626,MILWAUKEE,"UNDETE
RMINED",Female,Alive,2402,2451,"Captive
Birth/Hatch",Transfer,22/Apr/2014,CHICAGOBR,
2626,MILWAUKEE,"UNDETE
RMINED",Female,Alive,2402,2451,"Captive
Birth/Hatch",Transfer,02/Nov/2022,MILWAUKEE,
2631,MILWAUKEE,UNDETE RMINED,Male,Alive,1121,1145,Captive Birth/Hatch,Birth/hatch,22/Mar/2010,MOODY,
2631,MILWAUKEE,UNDETE RMINED,Male,Alive,1121,1145,Captive Birth/Hatch,Transfer,20/Feb/2014,CHICAGOBR,
2631,MILWAUKEE,UNDETE RMINED,Male,Alive,1121,1145,Captive Birth/Hatch,Transfer,02/Nov/2022,MILWAUKEE,
2649,MOODY,7832,Male,Alive,2498,2502,Captive Birth/Hatch,Birth/hatch,20/Jun/2012,DUKE PRIM,
2649,MOODY,7832,Male,Alive,2498,2502,Captive Birth/Hatch,Transfer,10/Sep/2015,MOODY,
2659,MOODY,UNDETE RMINED,Female,Alive,2450,2414,Captive Birth/Hatch,Birth/hatch,18/May/2015,CLEVELAND,
2659,MOODY,UNDETE RMINED,Female,Alive,2450,2414,Captive Birth/Hatch,Transfer,03/Jun/2016,COLUMBUS,
2659,MOODY,UNDETE RMINED,Female,Alive,2450,2414,Captive Birth/Hatch,Transfer,16/Nov/2023,MOODY,
2723,MOODY,9885,Male,Alive,2649,2638,Captive Birth/Hatch,Birth/hatch,"~ from 24/Dec/2022 to
26/Dec/2022",MOODY,
2623,NY BRONX,M14052,Male,Alive,2498,2502,Captive Birth/Hatch,Birth/hatch,17/Sep/2010,DUKE PRIM,
2623,NY BRONX,M14052,Male,Alive,2498,2502,Captive Birth/Hatch,Transfer,01/Dec/2011,SANDIEGOZ,
2623,NY BRONX,M14052,Male,Alive,2498,2502,Captive Birth/Hatch,Transfer,14/May/2014,NY BRONX,
2640,NY BRONX,M14053,Female,Alive,2420,2608,Captive Birth/Hatch,Birth/hatch,09/Apr/2012,DUKE PRIM,
2640,NY BRONX,M14053,Female,Alive,2420,2608,Captive Birth/Hatch,Transfer,14/May/2014,NY BRONX,
2708,NZP-WASH,116283,Female,Alive,2631,2626,"Captive
Birth/Hatch",Birth/hatch,26/Aug/2020,CHICAGOBR,
2708,NZP-WASH,116283,Female,Alive,2631,2626,"Captive
Birth/Hatch",Transfer,25/Aug/2022,NZP-WASH,
2715,NZP-WASH,"UNDETE
RMINED",Male,Alive,2634,2654,"Captive
Birth/Hatch",Birth/hatch,18/Jun/2021,LITTLEROC,
2715,NZP-WASH,"UNDETE
RMINED",Male,Alive,2634,2654,"Captive
Birth/Hatch",Transfer,23/Aug/2022,NZP-WASH,
2735,NZP-WASH,116461,Undeter mined,Alive,2715,2708,Captive Birth/Hatch,Birth/hatch,21/Mar/2024,NZP-WASH,
2736,NZP-WASH,116462,"Undeter
mined",Alive,2715,2708,"Captive
Birth/Hatch",Birth/hatch,21/Mar/2024,NZP-WASH,
2652,OMAHA,24485,Male,Alive,2408,2418,Captive Birth/Hatch,Birth/hatch,21/Aug/2013,AKRON,
2652,OMAHA,24485,Male,Alive,2408,2418,Captive Birth/Hatch,Transfer,08/Jun/2017,OMAHA,
2677,OMAHA,24709,Female,Alive,2496,2502,Captive Birth/Hatch,Birth/hatch,18/Jan/2017,DUKE PRIM,
2677,OMAHA,24709,Female,Alive,2496,2502,Captive Birth/Hatch,Transfer,14/Sep/2017,OMAHA,
2617,PHILADELP,104733,Female,Alive,1130,2436,Captive Birth/Hatch,Birth/hatch,05/Feb/2010,PHILADELP,
2676,PHILADELP,105322,Male,Alive,2631,2626,Captive Birth/Hatch,Birth/hatch,03/Nov/2016,CHICAGOBR,
2676,PHILADELP,105322,Male,Alive,2631,2626,Captive Birth/Hatch,Transfer,26/Oct/2017,PHILADELP,
2614,PUEBLO,M39021,Female,Alive,1131,2403,Captive Birth/Hatch,Birth/hatch,18/Jul/2009,ABQBIOPK,
2614,PUEBLO,M39021,Female,Alive,1131,2403,Captive Birth/Hatch,Transfer,18/Dec/2018,SANDIEGOZ,
2614,PUEBLO,M39021,Female,Alive,1131,2403,Captive Birth/Hatch,Transfer,05/Nov/2019,PUEBLO,
2653,PUEBLO,M39022,Male,Alive,2449,2632,Captive Birth/Hatch,Birth/hatch,22/Aug/2014,EL PASO,
2653,PUEBLO,M39022,Male,Alive,2449,2632,Captive Birth/Hatch,Transfer,21/Sep/2015,ABQBIOPK,
2653,PUEBLO,M39022,Male,Alive,2449,2632,Captive Birth/Hatch,Transfer,18/Dec/2018,SANDIEGOZ,
2653,PUEBLO,M39022,Male,Alive,2449,2632,Captive Birth/Hatch,Transfer,05/Nov/2019,PUEBLO,
2713,W ORANGE,2815,Female,Alive,2623,2640,Captive Birth/Hatch,Birth/hatch,~ from 11/Mar/2021 to 12/Mar/2021,NY BRONX,
2713,W ORANGE,2815,Female,Alive,2623,2640,Captive Birth/Hatch,Transfer,28/Mar/2024,W ORANGE,
2717,W ORANGE,2691,Male,Alive,UND,UND,"Captive
Birth/Hatch",Birth/hatch,Undetermined,GREENWICH,
2717,W ORANGE,2691,Male,Alive,UND,UND,"Captive
Birth/Hatch",Transfer,12/Jun/2021,VA SAFARI,
2717,W ORANGE,2691,Male,Alive,UND,UND,"Captive
Birth/Hatch",Transfer,13/Jan/2022,W ORANGE,
