ID,Current_Location,Sex,Birth_Date,Sire,Dam,Event_Type,Date,Location
,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,Transfer,1-Mar-86,SKANAKV
,,,,,,Transfer,20-Jul-87,CINCINNAT
,,,,,,Death,15-Dec-90,CINCINNAT
1029,SKANAKV,Male,01/Jan/1983 +/- 6 month,WILD,WILD,Birth/Hatch,01/Jan/1983 +/- 6 month,Viet Nam / ~
,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,Transfer,01/Jan/1985 +/- 6 month,SKANAKV
,,,,,,GO LTF,Undetermined,SKANAKV
1030,CHICAGOBR,Male,01/Jan/1986 +/- 6 month,WILD,WILD,Birth/Hatch,01/Jan/1986 +/- 6 month,Viet Nam / ~
,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,Transfer,25-Sep-86,SKANAKV
,,,,,,Transfer,20-Jul-87,CINCINNAT
,,,,,,Transfer,12-Oct-88,CHICAGOBR
,,,,,,Death,1-Jun-89,CHICAGOBR
1031,SEATTLE,Male,01/Jan/1986 +/- 6 month,WILD,WILD,Birth/Hatch,01/Jan/1986 +/- 6 month,Viet Nam / ~
,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,Transfer,25-Sep-86,SKANAKV
,,,,,,Transfer,20-Jul-87,CINCINNAT
,,,,,,Transfer,16-Jul-92,SEATTLE
,,,,,,Death,19-Jan-04,SEATTLE
1032,CINCINNAT,Male,01/Jan/1985 +/- 6 month,WILD,WILD,Birth/Hatch,01/Jan/1985 +/- 6 month,Viet Nam / ~
,,,,,,Wild Capture,"01/Jan/1985 +/-
6 month",Viet Nam / ~
,,,,,,Transfer,1-Mar-86,SKANAKV
,,,,,,Transfer,20-Jul-87,CINCINNAT
,,,,,,Death,11-Mar-97,CINCINNAT
1033,CINCINNAT,Male,01/Jan/1986 +/- 6 month,WILD,WILD,Birth/Hatch,01/Jan/1986 +/- 6 month,Viet Nam / ~
,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,Transfer,1-Mar-86,SKANAKV
,,,,,,Transfer,20-Jul-87,CINCINNAT
,,,,,,Death,27-Jul-88,CINCINNAT
1034,CINCINNAT,Female,01/Jan/1985 +/- 6 month,WILD,WILD,Birth/Hatch,01/Jan/1985 +/- 6 month,Lao People's Democratic Republic / ~
,,,,,,Wild Capture,Undetermined,Lao People's Democratic Republic / ~
,,,,,,Transfer,Undetermined,FORSS
,,,,,,Transfer,29-Dec-86,POZNAN
,,,,,,Transfer,14-Mar-87,SKANAKV
,,,,,,Transfer,14-Apr-87,SKANAKV
,,,,,,Transfer,20-Jul-87,CINCINNAT
,,,,,,Death,14-Feb-92,CINCINNAT
1035,CINCINNAT,Female,"01/Jan/1985 +/-
6 month",WILD,WILD,Birth/Hatch,"01/Jan/1985 +/-
6 month",Viet Nam / ~
,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,Transfer,Undetermined,FORSS
,,,,,,Transfer,29-Dec-86,POZNAN
,,,,,,Transfer,14-Mar-87,SKANAKV
,,,,,,Transfer,20-Jul-87,CINCINNAT
,,,,,,Death,23-Nov-90,CINCINNAT
1036,CINCINNAT,Female,01/Jan/1986 +/- 6 month,WILD,WILD,Birth/Hatch,01/Jan/1986 +/- 6 month,Viet Nam / ~
,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,Transfer,Undetermined,FORSS
,,,,,,Transfer,29-Dec-86,POZNAN
,,,,,,Transfer,14-Apr-87,SKANAKV
,,,,,,Transfer,20-Jul-87,CINCINNAT
,,,,,,Death,25-Oct-89,CINCINNAT
1037,CINCINNAT,Female,01/Jan/1986 +/- 6 month,WILD,WILD,Birth/Hatch,01/Jan/1986 +/- 6 month,Viet Nam / ~
,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,Transfer,1-Mar-86,SKANAKV
,,,,,,Transfer,20-Jul-87,CINCINNAT
,,,,,,Death,1-Jun-90,CINCINNAT
1038,CINCINNAT,Female,Undetermined,WILD,WILD,Birth/Hatch,Undetermined,Viet Nam / ~
,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,Transfer,11-May-86,SKANAKV
,,,,,,Transfer,20-Jul-87,CINCINNAT
,,,,,,Death,13-Jul-89,CINCINNAT
1039,PHILADELP,Male,Undetermined,WILD,WILD,Birth/Hatch,Undetermined,Undetermined
,,,,,,Wild Capture,Undetermined,Undetermined
,,,,,,Transfer,Undetermined,WORLDWIDE
,,,,,,Transfer,15-Oct-87,CINCINNAT
,,,,,,Transfer,28-Nov-90,PHILADELP
,,,,,,Death,18-May-97,PHILADELP
1040,PHILADELP,Female,01/Jan/1986 +/- 6 month,1013,1001,Birth/Hatch,01/Jan/1986 +/- 6 month,SKANAKV
,,,,,,Transfer,11-Oct-88,PHILADELP
,,,,,,Death,17-Aug-02,PHILADELP
1041,PHILADELP,Male,01/Dec/1986 +/- 6 month,1029,1000,Birth/Hatch,01/Dec/1986 +/- 6 month,SKANAKV
,,,,,,Transfer,11-Oct-88,PHILADELP
,,,,,,Death,7-Apr-01,PHILADELP
1042,HOUSTON,Male,Undetermined,WILD,WILD,Birth/Hatch,Undetermined,Undetermined
,,,,,,Wild Capture,Undetermined,Undetermined
,,,,,,Transfer,7-May-89,SAN FRAN
,,,,,,Transfer,15-Aug-89,HOUSTON
,,,,,,Death,5-Nov-99,HOUSTON
1043,SEATTLE,Female,Undetermined,WILD,WILD,Birth/Hatch,Undetermined,Undetermined
,,,,,,Wild Capture,Undetermined,Undetermined
,,,,,,Transfer,Undetermined,CA FG SD
,,,,,,Transfer,20-Aug-89,SEATTLE
,,,,,,Death,15-Sep-96,SEATTLE
1044,HOUSTON,Female,01/Jan/1984 +/- 15 day,WILD,WILD,Birth/Hatch,01/Jan/1984 +/- 15 day,Thailand / ~
,,,,,,Wild Capture,Undetermined,Thailand / ~
,,,,,,Transfer,Undetermined,CA FG SD
,,,,,,Transfer,20-Aug-89,SEATTLE
,,,,,,Transfer,18-Jun-92,DUKE PRIM
,,,,,,Transfer,24-Apr-97,HOUSTON
,,,,,,Death,1-Jan-03,HOUSTON
1045,HOUSTON,Male,14-Feb-87,1032,1034,Birth/Hatch,14-Feb-87,POZNAN
,,,,,,Transfer,14-Mar-87,SKANAKV
,,,,,,Transfer,14-Apr-87,SKANAKV
,,,,,,Transfer,10-Aug-88,SAN FRAN
,,,,,,Transfer,13-Oct-88,SAN FRAN
,,,,,,Transfer,15-Aug-89,HOUSTON
,,,,,,Transfer,22-Apr-92,PUEBLO
,,,,,,Transfer,9-Nov-04,HOUSTON
,,,,,,Death,22-Jan-09,HOUSTON
1046,HOUSTON,Female,14-Feb-87,1032,1035,Birth/Hatch,14-Feb-87,POZNAN
,,,,,,Transfer,14-Mar-87,SKANAKV
,,,,,,Transfer,14-Apr-87,SKANAKV
,,,,,,Transfer,10-Aug-88,SAN FRAN
,,,,,,Transfer,13-Oct-88,SAN FRAN
,,,,,,Transfer,15-Aug-89,HOUSTON
,,,,,,Transfer,22-Apr-92,PUEBLO
,,,,,,Transfer,9-Nov-04,HOUSTON
,,,,,,Death,12-Aug-06,HOUSTON
1047,DUKE PRIM,Male,17-Feb-87,UND,1008,Birth/Hatch,17-Feb-87,SKANAKV
,,,,,,Transfer,5-Apr-87,DUKE PRIM
,,,,,,Death,9-Aug-98,DUKE PRIM
1048,DUKE PRIM,Female,1-Jan-88,1012,1008,Birth/Hatch,1-Jan-88,DUKE PRIM
,,,,,,Death,21-Sep-90,DUKE PRIM
1049,DUKE PRIM,Male,1-Jan-88,1012,1008,Birth/Hatch,1-Jan-88,DUKE PRIM
,,,,,,Death,1-Jan-88,DUKE PRIM
1050,SANDIEGOZ,Female,12-Jan-88,1016,1019,Birth/Hatch,12-Jan-88,SANDIEGOZ
,,,,,,Death,2-Feb-88,SANDIEGOZ
1051,CHICAGOBR,Male,29-Feb-88,1026,1034,Birth/Hatch,29-Feb-88,CINCINNAT
,,,,,,Transfer,20-Sep-89,CHICAGOBR
,,,,,,Death,20-Feb-97,CHICAGOBR
1052,CINCINNAT,Undetermined,4-Apr-88,1032,1036,Birth/Hatch,4-Apr-88,CINCINNAT
,,,,,,Death,5-Apr-88,CINCINNAT
1053,CRYSTAL G,Undetermined,10-Apr-88,1015,1014,Birth/Hatch,10-Apr-88,CRYSTAL G
,,,,,,Death,26-Mar-92,CRYSTAL G
1054,CHICAGOBR,Female,24-Oct-88,1030,1024,Birth/Hatch,24-Oct-88,CHICAGOBR
,,,,,,Death,4-Mar-02,CHICAGOBR
1055,OMAHA,Male,17-Nov-88,1012,1008,Birth/Hatch,17-Nov-88,DUKE PRIM
,,,,,,Transfer,29-Jul-91,OMAHA
,,,,,,Death,29-Mar-93,OMAHA
1056,OMAHA,Male,17-Nov-88,1012,1008,Birth/Hatch,17-Nov-88,DUKE PRIM
,,,,,,Transfer,29-Jul-91,OMAHA
,,,,,,Death,30-Nov-00,OMAHA
1057,CINCINNAT,Male,25-Feb-89,1017,1020,Birth/Hatch,25-Feb-89,SANDIEGOZ
,,,,,,Transfer,28-Oct-98,CINCINNAT
,,,,,,Death,20-Aug-05,CINCINNAT
1058,SANDIEGOZ,Female,25-Feb-89,1017,1020,Birth/Hatch,25-Feb-89,SANDIEGOZ
,,,,,,Death,20-Dec-08,SANDIEGOZ
1059,SANDIEGOZ,Male,26-Feb-89,1016,1019,Birth/Hatch,26-Feb-89,SANDIEGOZ
,,,,,,Death,27-Jul-99,SANDIEGOZ
1060,SD-WAP,Female,27-Feb-89,1018,1021,Birth/Hatch,27-Feb-89,SANDIEGOZ
,,,,,,Transfer,1-Feb-02,SD-WAP
,,,,,,Death,2-May-02,SD-WAP
1061,SANDIEGOZ,Female,27-Feb-89,1018,1021,Birth/Hatch,27-Feb-89,SANDIEGOZ
,,,,,,Death,29-Nov-02,SANDIEGOZ
