ID,Current_Location,Current Local ID,Sex,Sire,Dam,Age,Event_Type,Date,Location,Local ID
1147,NY BRONX,E20030,Female,981,1109,"6Y,9M,2D",Birth/Hatch,27-Jul-15,ST LOUIS,117856
,,,,,,,Transfer,22-Mar-16,DENVER,A16042
,,,,,,,Transfer,19-Nov-20,NY BRONX,E20030
2020,NY BRONX,E13029,Female,1017,2869,"8Y,7M,22D",Birth/Hatch,7-Sep-13,NY BRONX,E13029
2949,NY BRONX,E21016,Male,1113,1139,"1Y,2M,25D",Birth/Hatch,4-Feb-21,COAL VAL,M2472
,,,,,,,Transfer,2-Jun-21,NY BRONX,E21016
1124,NY BRONX,E14049,Male,1017,2869,"7Y,8M,8D",Birth/Hatch,21-Aug-14,NY BRONX,E14049
1115,NY BRONX,E14020,Male,1017,2869,"7Y,11M,28D",Birth/Hatch,1-May-14,NY BRONX,E14020
2021,NY BRONX,E13028,Female,1017,2869,"8Y,7M,22D",Birth/Hatch,7-Sep-13,NY BRONX,E13028
2019,NY BRONX,E13027,Male,1017,2869,"8Y,7M,22D",Birth/Hatch,7-Sep-13,NY BRONX,E13027
1071,NY BRONX,E13042,Male,979,980,"9Y,6M,16D",Birth/Hatch,13-Oct-12,MILWAUKEE,5788
,,,,,,,Transfer,30-Oct-13,NY BRONX,E13042
1042,NY BRONX,E13002,Male,960,1007,"10Y,1M,26D",Birth/Hatch,3-Mar-12,DREHER PA,212034
,,,,,,,Transfer,31-Jan-13,NY BRONX,E13002
,,,,,,,Transfer,24-Mar-16,BINGHAMTO,16005
,,,,,,,Transfer,13-Jun-18,NY BRONX,E13002
980,NZP-WASH,115134,Female,UND,UND,"12Y,10M,14D",Birth/Hatch,15-Jun-09,PRIVATE,
,,,,,,,Transfer,15-Jun-09,KLONTZ,
,,,,,,,Transfer,14-Oct-10,MILWAUKEE,5683
,,,,,,,Transfer,6-Nov-14,NZP-WASH,115134
1108,NZP-WASH,115636,Male,977,985,"8Y,0M,6D",Birth/Hatch,23-Apr-14,ST LOUIS,116240
,,,,,,,Transfer,7-Oct-14,CHATTANOG,1208
,,,,,,,Transfer,6-Mar-18,NZP-WASH,115636
979,PALM DES,417002,Male,998,1001,"12Y,10M,12D",Birth/Hatch,17-Jun-09,HALL L,
,,,,,,,Transfer,"Jul 01, 2009 +/- 15 day",KLONTZ,
,,,,,,,Transfer,14-Oct-10,MILWAUKEE,5682
,,,,,,,Transfer,19-Jan-17,PALM DES,417002
1148,PALM DES,419048,Female,981,1109,"6Y,9M,2D",Birth/Hatch,27-Jul-15,ST LOUIS,117858
,,,,,,,Transfer,22-Mar-16,DENVER,A16043
,,,,,,,Transfer,14-Oct-19,PALM DES,419048
2933,PALM DES,421007,Female,2918,1068,"4Y,8M,8D",Birth/Hatch,21-Aug-17,ATTLEBORO,117411
,,,,,,,Transfer,21-Mar-18,ST LOUIS,122512
,,,,,,,Transfer,23-Mar-21,PALM DES,421007
2912,PALM DES,421001,Male,1114,980,"6Y,2M,25D",Birth/Hatch,4-Feb-16,NZP-WASH,115312
,,,,,,,Transfer,2-May-18,SD-WAP,618163
,,,,,,,Transfer,12-Jan-21,PALM DES,421001
1069,PALM DES,421004,Female,915,955,"9Y,9M,13D",Birth/Hatch,16-Jul-12,CINCINNAT,112053
,,,,,,,Transfer,3-Dec-13,PHOENIX,12456
,,,,,,,Transfer,6-Dec-16,MILWAUKEE,5979
,,,,,,,Transfer,20-Mar-21,PALM DES,421004
,,,,,,,,,,
1113,PALM DES,414014,Male,897,2871,"8Y,0M,14D",Birth/Hatch,15-Apr-14,PALM DES,414014
,,,,,,,Transfer,21-Oct-14,COAL VAL,M2335
,,,,,,,Transfer,7-Dec-21,PALM DES,414014
1112,PALM DES,414012,Male,897,2871,"8Y,0M,14D",Birth/Hatch,15-Apr-14,PALM DES,414012
1016,PALM DES,418012,Male,981,982,"11Y,0M,21D",Birth/Hatch,8-Apr-11,DISNEY AK,110192
,,,,,,,Transfer,26-Oct-11,SYRACUSE,M11017
,,,,,,,Transfer,2-May-18,PALM DES,418012
1037,PHOENIX,12118,Female,981,982,"10Y,1M,21D",Birth/Hatch,8-Mar-12,DISNEY AK,120103
,,,,,,,Transfer,20-Sep-12,PHOENIX,12118
1096,PHOENIX,13459,Male,960,1007,"8Y,11M,4D",Birth/Hatch,25-May-13,DREHER PA,213019
,,,,,,,Transfer,10-Apr-14,ST LOUIS,116201
,,,,,,,Transfer,8-Oct-14,SD-WAP,614480
,,,,,,,Transfer,28-Feb-17,PHOENIX,13459
2008,PITTSBURG,102791,Male,972,946,"8Y,11M,1D",Birth/Hatch,28-May-13,PITTSBURG,102791
1047,PROSPECTP,P20060,Female,993,994,"9Y,11M,25D",Birth/Hatch,"May 04, 2012 +/- 1 day",HALL L,UNK
,,,,,,,Transfer,7-Sep-13,METROZOO,13M058
,,,,,,,Transfer,19-Oct-13,ZS FLORID,13M058
,,,,,,,Transfer,1-Jan-16,METROZOO,13M058
,,,,,,,Transfer,12-Nov-20,PROSPECTP,P20060
1126,PROSPECTP,E14051,Female,1017,2869,"7Y,8M,24D",Birth/Hatch,5-Aug-14,NY BRONX,E14051
,,,,,,,Transfer,3-May-18,METROZOO,18M049
,,,,,,,Transfer,12-Nov-20,PROSPECTP,E14051
1036,RACINE,M1520,Male,983,982,"10Y,1M,21D",Birth/Hatch,8-Mar-12,DISNEY AK,120102
,,,,,,,Transfer,12-Sep-12,NORFOLK,212158
,,,,,,,Transfer,12-Nov-15,RACINE,M1520
1033,RACINE,M1803,Male,979,980,"10Y,3M,2D",Birth/Hatch,27-Jan-12,MILWAUKEE,5747
,,,,,,,Transfer,19-Dec-12,BATTLE CR,M12031
,,,,,,,Transfer,6-Mar-18,RACINE,M1803
,,,,,,,,,,
1077,S BARBARA,700906,Female,1002,1003,"10Y,11M,9D",Birth/Hatch,20-May-11,EXOTIC EN,Jasmin
,,,,,,,Transfer,9-Nov-15,S BARBARA,700906
1075,S BARBARA,700637,Male,1076,1077,"9Y,10M,1D",Birth/Hatch,28-Jun-12,HALL L,-
,,,,,,,Transfer,"Oct 15, 2012 +/- 1 day",S BARBARA,700637
2011,SAFARI W,115127,Female,998,1001,"10Y,9M,28D",Birth/Hatch,1-Jul-11,EXOTIC EN,CHER
,,,,,,,Transfer,18-Sep-15,SAFARI W,115127
1067,SAFARI W,119006,Male,915,955,"9Y,9M,13D",Birth/Hatch,16-Jul-12,CINCINNAT,112055
,,,,,,,Transfer,23-Apr-14,STATEN IS,14018
,,,,,,,Transfer,30-Nov-16,PITTSBURG,103077
,,,,,,,Transfer,14-Mar-19,SAFARI W,119006
2001,SAFARI W,119018,Female,1016,975,"8Y,10M,18D",Birth/Hatch,11-Jun-13,SYRACUSE,M13063
,,,,,,,Transfer,7-Oct-14,SACRAMNTO,101206
,,,,,,,Transfer,26-Apr-19,SAFARI W,119018
2002,SAFARI W,119019,Female,1016,975,"8Y,10M,18D",Birth/Hatch,11-Jun-13,SYRACUSE,M13064
,,,,,,,Transfer,7-Oct-14,SACRAMNTO,101207
,,,,,,,Transfer,26-Apr-19,SAFARI W,119019
982,SANDIEGOZ,516002,Female,1002,1003,"12Y,11M,2D",Birth/Hatch,27-May-09,HALL L,E-VEL
,,,,,,,Transfer,"Jan 15, 2010 +/- 4 month",KLONTZ,E-VEL
,,,,,,,Transfer,7-Oct-10,DISNEY AK,100643
,,,,,,,Transfer,20-Sep-12,ST LOUIS,110926
,,,,,,,Transfer,7-Jan-16,SANDIEGOZ,516002
975,SANDIEGOZ,618162,Female,988,1004,"11Y,10M,8D",Birth/Hatch,21-Jun-10,KLONTZ,RHIONA
,,,,,,,Transfer,7-Oct-10,SYRACUSE,M10095
,,,,,,,Transfer,2-May-18,SD-WAP,618162
,,,,,,,Transfer,24-Jan-21,SANDIEGOZ,618162
1134,SANDIEGOZ,1003515,Female,983,1039,"7Y,3M,6D",Birth/Hatch,23-Jan-15,SANJOSECA,200610
,,,,,,,Transfer,8-Feb-22,SANDIEGOZ,1003515
1127,SANDIEGOZ,514154,Male,UND,UND,"7Y,10M,19D",Birth/Hatch,10-Jun-14,YATES,UNK
,,,,,,,Transfer,24-Aug-14,SANDIEGOZ,514154
,,,,,,,,,,
1114,SANDIEGOZ,1003414,Male,1017,2869,"7Y,11M,28D",Birth/Hatch,1-May-14,NY BRONX,E14021
,,,,,,,Transfer,19-Mar-15,NZP-WASH,115174
,,,,,,,Transfer,6-Apr-16,NY BRONX,E14021
,,,,,,,Transfer,2-Dec-21,SANDIEGOZ,1003414
1039,SANJOSECA,200568,Female,960,1007,"10Y,1M,26D",Birth/Hatch,3-Mar-12,DREHER PA,212033
,,,,,,,Transfer,1-Nov-12,SANJOSECA,200568
1135,SANJOSECA,200611,Female,983,1039,"7Y,3M,6D",Birth/Hatch,23-Jan-15,SANJOSECA,200611
1146,SOUTHBEND,34129,Male,981,1109,"6Y,9M,2D",Birth/Hatch,27-Jul-15,ST LOUIS,117855
,,,,,,,Transfer,17-Nov-15,SOUTHBEND,34129
